"id","account","name","is_assets_account","use_for_bilance","currency","amount_in_account","parent_id"
1,"1",Ilgtermiņa ieguldījumi,true,true,EUR,,
2,"11",Nemateriālie ieguldijumi,true,false,EUR,,1
3,"111",Pētniecības darba un uzņēmuma attīstības izmaksas,true,false,EUR,,2
4,"112","Koncesijas,patenti,licences,tirdzniecības zīmes un līdzīgas tiesības",true,false,EUR,,2
5,"113",Uzņēmuma nemateriālā vērtība,true,false,EUR,,2
6,"114",Citi nemateriālie aktīvi,true,false,EUR,,2
7,"115",Nemateriālo ieguldījumu izveidošanas izdevumi,true,false,EUR,,2
8,"118",Avansa maksājumi par nemateriālajiem aktīviem,true,false,EUR,,2
9,"119",Nemateriālo ieguldījumu vērtības norakstīšana (pasīvā),true,false,EUR,,2
10,"1191",Pētniecības darba un uzņēmuma attīstības vērtības norakstītā daļa,true,false,EUR,,9
11,"1192","Koncesijas,patenti,licences, līdzīgu tiesību norakstītā daļa",true,false,EUR,,9
12,"1193",Uzņēmuma nemateriālās vērtības norakstītā daļa,true,false,EUR,,9
13,"1194",Citu nemateriālo aktīvu norakstītā daļa,true,false,EUR,,9
14,"12",Pamatlīdzekļi,true,true,EUR,,1
15,"121","Zemes gabali, ēkas, būves un ilggadīgie stādījumi",true,true,EUR,,14
16,"122",Tehnoloģiskās iekārtas un mašīnas,true,true,EUR,,14
17,"123",Pārējie pamatlīdzekļi un inventārs,true,false,EUR,,14
18,"124",PamatlīdzekļIu izveidošana un nepabeigto celtniecības objektu izmaksas,true,false,EUR,,14
19,"125",Avansa maksājumi par pamatlīdzekļiem,true,false,EUR,,14
20,"126",Ieguldījumi nomātajos pamatlīdzekļos,true,false,EUR,,14
21,"129",Pamatlīdzekļu nolietojums (pasīvā),false,false,EUR,,14
22,"1291","Ēku, būvju un citu nekustamo īpašumā īpašuma objektu nolietujums",true,true,EUR,,21
23,"1292",Tehnoloģisko iekārtu un mašīnu nolietojums,true,true,EUR,,21
24,"1293",Pārējo pamatlīdzekļu un inventāra nolietojums,true,false,EUR,,21
25,"1296",Ieguldījumi nomātajos pamatlīdzekļos norakstītā daļa,true,false,EUR,,21
26,"13",Ilgtermiņa finansu ieguldījumi,true,false,EUR,,1
27,"131",Līdzdalība radniecīgo uzņēmumu kapitālā,true,false,EUR,,26
28,"132",Aizdevumi radniecīgajiem uzņēmumiem,true,false,EUR,,26
29,"133",Līdzdalība saistīto uzņēmumu kapitālā,true,false,EUR,,26
30,"134",Aizdevumi saistītajiem uzņēmumiem,true,false,EUR,,26
31,"135",Pārējie vērtspapīri un ieguldījumi,true,false,EUR,,26
32,"136",Pārejie aizdevumi,true,false,EUR,,26
33,"137",Pašu akcijas un daļas,true,false,EUR,,26
34,"138",Aizdevumi un uzņēmuma līdzīpašniekiem un vadībai,true,false,EUR,,26
35,"2",Apgrozāmie līdzekļi,true,false,EUR,,
36,"21",Krājumi,true,false,EUR,,35
37,"211",Izejvielas un materiāli,true,false,EUR,,36
38,"212",Nepabeigtie ražojumi,true,false,EUR,,36
39,"213",Gatavie ražojumi un preces pārdošanai,true,false,EUR,,36
40,"214",Nepabeigtie pasūtījumi,true,false,EUR,,36
41,"215",Mazvērtīgais inventārs,true,false,EUR,,36
42,"219",Avansa maksājumi par precēm,true,false,EUR,,36
43,"23",Norēķini par prasībām (debitori),true,false,EUR,,35
44,"231",Norēķini ar pircējiem un pasūtītājiem,true,false,EUR,,43
45,"232",Par piegādēm un pasūtījumiem izrakstītie rēķini,true,false,EUR,,43
46,"233",Radniecīgo uzņēmumu parādi,true,false,EUR,,43
47,"234",Saistīto uzņēmumu parādi,true,false,EUR,,43
48,"235",Norēķini ar citiem debitoriem,true,false,EUR,,43
49,"236",Norēķini par parakstītā  sabiedrības kapitālā neiemaksātām summām,true,false,EUR,,43
50,"237",Īstermiņa aizdevumi uzņēmuma līdzīpašniekiem un vadībai,true,false,EUR,,43
51,"238",Norēķini par prasībām pret personālu un īstermiņa aizdevumi personālam,true,false,EUR,,43
52,"239","Pārmaksātie nodokļi, iepriekš samaksātie nodokli",true,true,EUR,,43
53,"24",Nākamo periodu izmaksas,true,false,EUR,,35
54,"241",Nākamo periodu izmaksas,true,false,EUR,,53
55,"242",Akciju emisijas nocenojums (disagio),true,false,EUR,,53
56,"25",Vērtspapīri apgrozāmo līdzekļu sastāvā un īstermiņa līdzdalība kapitālos,true,false,EUR,,35
57,"251",Līdzdalība radniecīgo uzņēmumu kapitālā,true,false,EUR,,56
58,"252",Saistīto uzņēmumu akcijas vai daļas,true,false,EUR,,56
59,"253",Pašu akcijas un daļas,true,false,EUR,,56
60,"254",Pārējie vērtspapīri un līdzdalība kapitālos,true,false,EUR,,56
61,"26",Naudas līdzekļi,true,false,EUR,,35
62,"261",Kase,true,false,EUR,,61
63,"262",Norēķinu konti bankās,true,false,EUR,,61
64,"264","Akredatīvi,čeki un īpašu norēķina formas konti",true,false,EUR,,61
65,"265",Citi konti bankās,true,false,EUR,,61
66,"267",Pārejie naudas līdzekļi,true,false,EUR,,61
67,"3",Pašu kapitāls,false,false,EUR,,
68,"31","Pamatkapitāls vai līdzdalības kapitāls, agio, ilgtermiņa ieguldījumu pārvērtēšan",false,false,EUR,,67
69,"311",Pamatkapitāls vai līdzdalības kapitāls,false,false,EUR,,68
70,"312",Akciju emisijas uzcenojumu (agio),false,false,EUR,,68
71,"313",Ilgtermiņa ieguldījumu pārvērtēšanas rezerve,false,false,EUR,,68
72,"32",Privātkonti,false,false,EUR,,67
73,"321",Privātiem nolūkiem izņemtie līdzekļi,false,false,EUR,,72
74,"322",Privātie ieguldījumi,false,false,EUR,,72
75,"33",Rezerves,false,false,EUR,,67
76,"331",Rezerves kapitāls,false,false,EUR,,75
77,"333",Citas likumā noteiktās rezerves,false,false,EUR,,75
78,"334",Rezerves pašu akcijām vai daļām,false,false,EUR,,75
79,"335",Statūtos parezētās rezerves un fondi,false,false,EUR,,75
80,"336",Pārējās rezerves,false,false,EUR,,75
81,"34",Nesadalītā peļņa vai nesegtie zaudējumi,false,false,EUR,,67
82,"341",Pārskata gada nesadalītā peļņa,false,false,EUR,,81
83,"342",Iepriekšējo gadu nesadalītā peļņa,false,false,EUR,,81
84,"4",Uzkrājumi,false,false,EUR,,
85,"41",Uzkrājumi pensijām un tamlīdzīgām saistībām,false,false,EUR,,84
86,"411",Uzkrājumi pensijām un tamlīdzīgām saistībām,false,false,EUR,,85
87,"42",Uzkrājumi paredzamiem nodokļiem,false,false,EUR,,84
88,"421",Uzkrājumi paredzamiem nodokļiem,false,false,EUR,,87
